Best, Average, Worst
21, 19, 12
61, 53, 43
107, 96, 78
163, 137, 115
221, 196, 158
277, 235, 205
341, 299, 256
407, 351, 307
477, 417, 362
541, 491, 417
611, 534, 470
667, 616, 525
749, 677, 580
827, 734, 641
905, 819, 700
977, 903, 769
1059, 958, 820
1135, 1011, 883
1211, 1077, 950
1289, 1175, 1007
1367, 1216, 1086
1443, 1305, 1155
1521, 1360, 1222
1593, 1461, 1279
1679, 1537, 1342
1755, 1586, 1415
1841, 1691, 1484
1927, 1769, 1545
2019, 1844, 1616
2111, 1909, 1695
2197, 1974, 1782
2271, 2083, 1845
2369, 2146, 1912
2463, 2233, 1965
2549, 2320, 2070
2621, 2398, 2131
2721, 2461, 2218
2811, 2574, 2283
2893, 2604, 2354
2973, 2713, 2423
3067, 2828, 2512
3159, 2868, 2581
3245, 2960, 2688
3323, 3050, 2725
3413, 3122, 2804
3505, 3234, 2887
3595, 3302, 2978
3677, 3354, 3019
3769, 3469, 3106
3855, 3549, 3177
3941, 3638, 3290
4023, 3738, 3315
4137, 3789, 3430
4231, 3909, 3497
4333, 3998, 3590
4423, 4063, 3671
4521, 4175, 3748
4617, 4203, 3811
4721, 4303, 3924
4805, 4387, 3973
4915, 4510, 4064
5015, 4614, 4137
5115, 4679, 4224
5203, 4766, 4299
5305, 4892, 4356
5401, 4943, 4459
5497, 5018, 4560
5589, 5120, 4621
5689, 5203, 4714
5789, 5354, 4799
5889, 5401, 4886
5985, 5517, 4947
6081, 5599, 5032
6171, 5674, 5121
6277, 5809, 5234
6375, 5865, 5279
6477, 5945, 5358
6571, 6052, 5457
6679, 6122, 5554
6755, 6206, 5643
6855, 6358, 5696
6947, 6404, 5787
7049, 6469, 5896
7139, 6616, 5949
7249, 6683, 6070
7343, 6787, 6143
7449, 6849, 6214
7537, 6988, 6305
7631, 7044, 6392
7727, 7139, 6515
7831, 7253, 6592
7917, 7379, 6649
8023, 7450, 6750
8121, 7537, 6853
8223, 7593, 6922
8315, 7723, 6967
8419, 7784, 7104
8519, 7911, 7189
8609, 7994, 7292
8709, 8061, 7317
